Station_ID,Date,Month,Year,Holiday,Weekend,Hour,Temperature,Load
1,1,1,2005,1,1,1,43,156.545
1,1,1,2005,1,1,2,41,147.924
1,1,1,2005,1,1,3,40,141.037
1,1,1,2005,1,1,4,39,139.125
1,1,1,2005,1,1,5,38,140.482
1,1,1,2005,1,1,6,37,144.726
1,1,1,2005,1,1,7,37,151.682
1,1,1,2005,1,1,8,36,160.795
1,1,1,2005,1,1,9,36,176.263
1,1,1,2005,1,1,10,44,179.873
1,1,1,2005,1,1,11,51,177.61
1,1,1,2005,1,1,12,56,173.02
1,1,1,2005,1,1,13,61,163.495
1,1,1,2005,1,1,14,64,154.555
1,1,1,2005,1,1,15,66,148.92
1,1,1,2005,1,1,16,66,147.001
1,1,1,2005,1,1,17,66,151.095
1,1,1,2005,1,1,18,62,173.793
1,1,1,2005,1,1,19,58,190.031
1,1,1,2005,1,1,20,55,185.218
1,1,1,2005,1,1,21,54,177.967
1,1,1,2005,1,1,22,52,169.502
1,1,1,2005,1,1,23,51,155.938
1,1,1,2005,1,1,24,51,139.258
1,2,1,2005,0,1,1,50,125.346
1,2,1,2005,0,1,2,48,118.416
1,2,1,2005,0,1,3,47,116.78
1,2,1,2005,0,1,4,46,118.143
1,2,1,2005,0,1,5,46,122.795
1,2,1,2005,0,1,6,45,129.928
1,2,1,2005,0,1,7,44,143.2
1,2,1,2005,0,1,8,44,163.824
1,2,1,2005,0,1,9,44,189.415
1,2,1,2005,0,1,10,51,188.124
1,2,1,2005,0,1,11,57,169.805
1,2,1,2005,0,1,12,62,155.386
1,2,1,2005,0,1,13,65,152.769
1,2,1,2005,0,1,14,68,148.993
1,2,1,2005,0,1,15,70,143.25
1,2,1,2005,0,1,16,70,140.381
1,2,1,2005,0,1,17,70,144.44
1,2,1,2005,0,1,18,66,172
1,2,1,2005,0,1,19,61,193.696
1,2,1,2005,0,1,20,58,193.642
1,2,1,2005,0,1,21,56,187.023
1,2,1,2005,0,1,22,54,175.177
1,2,1,2005,0,1,23,53,155.832
1,2,1,2005,0,1,24,52,135.549
1,3,1,2005,0,0,1,51,122.339
1,3,1,2005,0,0,2,49,118.007
1,3,1,2005,0,0,3,48,118.395
1,3,1,2005,0,0,4,47,121.96
1,3,1,2005,0,0,5,46,130.08
1,3,1,2005,0,0,6,45,149.409
1,3,1,2005,0,0,7,44,175.835
1,3,1,2005,0,0,8,44,182.662
1,3,1,2005,0,0,9,44,178.082
1,3,1,2005,0,0,10,51,173.236
1,3,1,2005,0,0,11,57,163.255
1,3,1,2005,0,0,12,62,155.088
1,3,1,2005,0,0,13,65,149.04
1,3,1,2005,0,0,14,68,142.998
1,3,1,2005,0,0,15,70,139.973
1,3,1,2005,0,0,16,70,139.375
1,3,1,2005,0,0,17,70,147.925
1,3,1,2005,0,0,18,66,176.941
1,3,1,2005,0,0,19,62,206.153
1,3,1,2005,0,0,20,59,207.321
1,3,1,2005,0,0,21,57,198.564
1,3,1,2005,0,0,22,56,181.833
1,3,1,2005,0,0,23,55,156.097
1,3,1,2005,0,0,24,54,130.021
1,4,1,2005,0,0,1,53,112.989
1,4,1,2005,0,0,2,51,106.235
1,4,1,2005,0,0,3,50,104.199
1,4,1,2005,0,0,4,50,104.42
1,4,1,2005,0,0,5,49,110.352
1,4,1,2005,0,0,6,48,130.518
1,4,1,2005,0,0,7,47,165.65
1,4,1,2005,0,0,8,47,170.033
1,4,1,2005,0,0,9,47,153.113
1,4,1,2005,0,0,10,53,144.468
1,4,1,2005,0,0,11,58,138.553
1,4,1,2005,0,0,12,63,135.031
1,4,1,2005,0,0,13,66,133.268
1,4,1,2005,0,0,14,68,131.919
1,4,1,2005,0,0,15,70,131.724
1,4,1,2005,0,0,16,70,134.757
1,4,1,2005,0,0,17,70,141.92
1,4,1,2005,0,0,18,67,169.484
1,4,1,2005,0,0,19,64,198.253
1,4,1,2005,0,0,20,62,199.114
1,4,1,2005,0,0,21,61,192.287
1,4,1,2005,0,0,22,60,174.515
1,4,1,2005,0,0,23,59,149.467
1,4,1,2005,0,0,24,58,121.726
1,5,1,2005,0,0,1,57,104.565
1,5,1,2005,0,0,2,56,96.84
1,5,1,2005,0,0,3,56,94.634
1,5,1,2005,0,0,4,55,95.623
1,5,1,2005,0,0,5,54,102.136
1,5,1,2005,0,0,6,54,124.298
1,5,1,2005,0,0,7,53,163.341
1,5,1,2005,0,0,8,53,166.844
1,5,1,2005,0,0,9,53,149.561
1,5,1,2005,0,0,10,59,140.662
1,5,1,2005,0,0,11,64,135.669
1,5,1,2005,0,0,12,68,132.079
1,5,1,2005,0,0,13,71,130.654
1,5,1,2005,0,0,14,73,127.779
1,5,1,2005,0,0,15,75,126.039
1,5,1,2005,0,0,16,75,129.564
1,5,1,2005,0,0,17,75,139.329
1,5,1,2005,0,0,18,72,169.886
1,5,1,2005,0,0,19,67,197.035
1,5,1,2005,0,0,20,65,195.727
1,5,1,2005,0,0,21,63,189.599
1,5,1,2005,0,0,22,62,176.341
1,5,1,2005,0,0,23,61,150.423
1,5,1,2005,0,0,24,60,123.757
1,6,1,2005,0,0,1,59,107.946
1,6,1,2005,0,0,2,57,102.144
1,6,1,2005,0,0,3,56,99.825
1,6,1,2005,0,0,4,55,100.859
1,6,1,2005,0,0,5,55,107.084
1,6,1,2005,0,0,6,54,127.78
1,6,1,2005,0,0,7,53,166.032
1,6,1,2005,0,0,8,53,169.466
1,6,1,2005,0,0,9,53,150.995
1,6,1,2005,0,0,10,58,145.449
1,6,1,2005,0,0,11,62,141.949
1,6,1,2005,0,0,12,65,138.987
1,6,1,2005,0,0,13,68,135.396
1,6,1,2005,0,0,14,70,132.923
1,6,1,2005,0,0,15,71,131.465
1,6,1,2005,0,0,16,71,137.457
1,6,1,2005,0,0,17,71,149.239
1,6,1,2005,0,0,18,68,174.788
1,6,1,2005,0,0,19,63,197.42
1,6,1,2005,0,0,20,61,198.447
1,6,1,2005,0,0,21,59,193.57
1,6,1,2005,0,0,22,58,177.003
